rodada,algoritmo,RMSE
1,alpha0.9---w-2-1-0,0.82424
2,alpha0.9---w-0-1-2,0.81647
3,alpha0.9---w-0-1-2,0.81158
4,alpha0.9---w-0-1-2,0.81259
5,alpha0.9---w-0-1-2,0.82521
6,alpha0.9---w-0-1-2,0.80995
7,alpha0.9---w-0-1-2,0.81705
8,alpha0.9---w-0-1-2,0.81269
9,alpha0.9---w-0-1-2,0.82857
10,alpha0.9---w-0-1-2,0.81418
11,alpha0.9---w-0-1-2,0.81859
12,alpha0.9---w-0-1-2,0.82092
13,alpha0.9---w-0-1-2,0.82191
14,alpha0.9---w-0-1-2,0.81596
15,alpha0.9---w-0-1-2,0.81603
16,alpha0.9---w-0-1-2,0.81983
17,alpha0.9---w-0-1-2,0.82493
18,alpha0.9---w-0-1-2,0.81003
19,alpha0.9---w-0-1-2,0.81767
20,alpha0.9---w-0-1-2,0.8134
21,alpha0.9---w-0-1-2,0.81577
22,alpha0.9---w-0-1-2,0.82332
23,alpha0.9---w-0-1-2,0.81496
24,alpha0.9---w-0-1-2,0.82667
25,alpha0.9---w-0-1-2,0.82086
26,alpha0.9---w-0-1-2,0.80978
27,alpha0.9---w-0-1-2,0.8193
28,alpha0.9---w-0-1-2,0.81689
29,alpha0.9---w-0-1-2,0.81472
30,alpha0.9---w-0-1-2,0.8124
1,alpha0.1---w-0-1-1,0.8253
2,alpha0.9---w-0-2-1,0.81646
3,alpha0.9---w-0-2-1,0.81157
4,alpha0.9---w-0-2-1,0.81265
5,alpha0.9---w-0-2-1,0.82526
6,alpha0.9---w-0-2-1,0.80999
7,alpha0.9---w-0-2-1,0.81704
8,alpha0.9---w-0-2-1,0.8128
9,alpha0.9---w-0-2-1,0.82862
10,alpha0.9---w-0-2-1,0.81418
11,alpha0.9---w-0-2-1,0.81858
12,alpha0.9---w-0-2-1,0.82095
13,alpha0.9---w-0-2-1,0.82196
14,alpha0.9---w-0-2-1,0.81599
15,alpha0.9---w-0-2-1,0.81608
16,alpha0.9---w-0-2-1,0.81982
17,alpha0.9---w-0-2-1,0.825
18,alpha0.9---w-0-2-1,0.81004
19,alpha0.9---w-0-2-1,0.81769
20,alpha0.9---w-0-2-1,0.8134
21,alpha0.9---w-0-2-1,0.81579
22,alpha0.9---w-0-2-1,0.82336
23,alpha0.9---w-0-2-1,0.81505
24,alpha0.9---w-0-2-1,0.82669
25,alpha0.9---w-0-2-1,0.8209
26,alpha0.9---w-0-2-1,0.8098
27,alpha0.9---w-0-2-1,0.81937
28,alpha0.9---w-0-2-1,0.81689
29,alpha0.9---w-0-2-1,0.81471
30,alpha0.9---w-0-2-1,0.81244
1,alpha0.1---w-0-1-2,0.82704
2,alpha0.9---w-1-0-2,0.81653
3,alpha0.9---w-1-0-2,0.81162
4,alpha0.9---w-1-0-2,0.81254
5,alpha0.9---w-1-0-2,0.82521
6,alpha0.9---w-1-0-2,0.80997
7,alpha0.9---w-1-0-2,0.81707
8,alpha0.9---w-1-0-2,0.81268
9,alpha0.9---w-1-0-2,0.82856
10,alpha0.9---w-1-0-2,0.81421
11,alpha0.9---w-1-0-2,0.81865
12,alpha0.9---w-1-0-2,0.82089
13,alpha0.9---w-1-0-2,0.82199
14,alpha0.9---w-1-0-2,0.81596
15,alpha0.9---w-1-0-2,0.81601
16,alpha0.9---w-1-0-2,0.81992
17,alpha0.9---w-1-0-2,0.82494
18,alpha0.9---w-1-0-2,0.81007
19,alpha0.9---w-1-0-2,0.81771
20,alpha0.9---w-1-0-2,0.81339
21,alpha0.9---w-1-0-2,0.81583
22,alpha0.9---w-1-0-2,0.82331
23,alpha0.9---w-1-0-2,0.81497
24,alpha0.9---w-1-0-2,0.82675
25,alpha0.9---w-1-0-2,0.82086
26,alpha0.9---w-1-0-2,0.80981
27,alpha0.9---w-1-0-2,0.81931
28,alpha0.9---w-1-0-2,0.81689
29,alpha0.9---w-1-0-2,0.81472
30,alpha0.9---w-1-0-2,0.81244
1,alpha0.1---w-0-2-1,0.82524
2,alpha0.9---w-1-1-1,0.81648
3,alpha0.9---w-1-1-1,0.81158
4,alpha0.9---w-1-1-1,0.81257
5,alpha0.9---w-1-1-1,0.82523
6,alpha0.9---w-1-1-1,0.80998
7,alpha0.9---w-1-1-1,0.81703
8,alpha0.9---w-1-1-1,0.81276
9,alpha0.9---w-1-1-1,0.82857
10,alpha0.9---w-1-1-1,0.81418
11,alpha0.9---w-1-1-1,0.8186
12,alpha0.9---w-1-1-1,0.82088
13,alpha0.9---w-1-1-1,0.82201
14,alpha0.9---w-1-1-1,0.81596
15,alpha0.9---w-1-1-1,0.81603
16,alpha0.9---w-1-1-1,0.81988
17,alpha0.9---w-1-1-1,0.82498
18,alpha0.9---w-1-1-1,0.81004
19,alpha0.9---w-1-1-1,0.8177
20,alpha0.9---w-1-1-1,0.81337
21,alpha0.9---w-1-1-1,0.81582
22,alpha0.9---w-1-1-1,0.82332
23,alpha0.9---w-1-1-1,0.81504
24,alpha0.9---w-1-1-1,0.82674
25,alpha0.9---w-1-1-1,0.82087
26,alpha0.9---w-1-1-1,0.80979
27,alpha0.9---w-1-1-1,0.81936
28,alpha0.9---w-1-1-1,0.81684
29,alpha0.9---w-1-1-1,0.81469
30,alpha0.9---w-1-1-1,0.81246
1,alpha0.1---w-1-0-1,0.82508
2,alpha0.9---w-1-2-0,0.81652
3,alpha0.9---w-1-2-0,0.81162
4,alpha0.9---w-1-2-0,0.81268
5,alpha0.9---w-1-2-0,0.82533
6,alpha0.9---w-1-2-0,0.81007
7,alpha0.9---w-1-2-0,0.81707
8,alpha0.9---w-1-2-0,0.81292
9,alpha0.9---w-1-2-0,0.82866
10,alpha0.9---w-1-2-0,0.81422
11,alpha0.9---w-1-2-0,0.81864
12,alpha0.9---w-1-2-0,0.82096
13,alpha0.9---w-1-2-0,0.82211
14,alpha0.9---w-1-2-0,0.81605
15,alpha0.9---w-1-2-0,0.81614
16,alpha0.9---w-1-2-0,0.81992
17,alpha0.9---w-1-2-0,0.8251
18,alpha0.9---w-1-2-0,0.8101
19,alpha0.9---w-1-2-0,0.81776
20,alpha0.9---w-1-2-0,0.81343
21,alpha0.9---w-1-2-0,0.81589
22,alpha0.9---w-1-2-0,0.8234
23,alpha0.9---w-1-2-0,0.81519
24,alpha0.9---w-1-2-0,0.82681
25,alpha0.9---w-1-2-0,0.82096
26,alpha0.9---w-1-2-0,0.80986
27,alpha0.9---w-1-2-0,0.8195
28,alpha0.9---w-1-2-0,0.81689
29,alpha0.9---w-1-2-0,0.81474
30,alpha0.9---w-1-2-0,0.81256
1,alpha0.1---w-1-0-2,0.82691
2,alpha0.9---w-2-0-1,0.81656
3,alpha0.9---w-2-0-1,0.81166
4,alpha0.9---w-2-0-1,0.81255
5,alpha0.9---w-2-0-1,0.82526
6,alpha0.9---w-2-0-1,0.81003
7,alpha0.9---w-2-0-1,0.81708
8,alpha0.9---w-2-0-1,0.81278
9,alpha0.9---w-2-0-1,0.82858
10,alpha0.9---w-2-0-1,0.81423
11,alpha0.9---w-2-0-1,0.81869
12,alpha0.9---w-2-0-1,0.82088
13,alpha0.9---w-2-0-1,0.82211
14,alpha0.9---w-2-0-1,0.816
15,alpha0.9---w-2-0-1,0.81605
16,alpha0.9---w-2-0-1,0.81999
17,alpha0.9---w-2-0-1,0.82501
18,alpha0.9---w-2-0-1,0.81011
19,alpha0.9---w-2-0-1,0.81776
20,alpha0.9---w-2-0-1,0.81339
21,alpha0.9---w-2-0-1,0.8159
22,alpha0.9---w-2-0-1,0.82334
23,alpha0.9---w-2-0-1,0.81509
24,alpha0.9---w-2-0-1,0.82684
25,alpha0.9---w-2-0-1,0.82091
26,alpha0.9---w-2-0-1,0.80985
27,alpha0.9---w-2-0-1,0.81941
28,alpha0.9---w-2-0-1,0.81686
29,alpha0.9---w-2-0-1,0.81473
30,alpha0.9---w-2-0-1,0.81254
1,alpha0.1---w-1-1-0,0.82458
2,alpha0.9---w-2-1-0,0.81657
3,alpha0.9---w-2-1-0,0.81167
4,alpha0.9---w-2-1-0,0.81263
5,alpha0.9---w-2-1-0,0.82533
6,alpha0.9---w-2-1-0,0.81008
7,alpha0.9---w-2-1-0,0.81709
8,alpha0.9---w-2-1-0,0.81291
9,alpha0.9---w-2-1-0,0.82864
10,alpha0.9---w-2-1-0,0.81425
11,alpha0.9---w-2-1-0,0.81869
12,alpha0.9---w-2-1-0,0.82093
13,alpha0.9---w-2-1-0,0.82218
14,alpha0.9---w-2-1-0,0.81605
15,alpha0.9---w-2-1-0,0.81612
16,alpha0.9---w-2-1-0,0.82
17,alpha0.9---w-2-1-0,0.8251
18,alpha0.9---w-2-1-0,0.81014
19,alpha0.9---w-2-1-0,0.81779
20,alpha0.9---w-2-1-0,0.81342
21,alpha0.9---w-2-1-0,0.81595
22,alpha0.9---w-2-1-0,0.82339
23,alpha0.9---w-2-1-0,0.8152
24,alpha0.9---w-2-1-0,0.82689
25,alpha0.9---w-2-1-0,0.82097
26,alpha0.9---w-2-1-0,0.80988
27,alpha0.9---w-2-1-0,0.81952
28,alpha0.9---w-2-1-0,0.81687
29,alpha0.9---w-2-1-0,0.81475
30,alpha0.9---w-2-1-0,0.8126
1,alpha0.1---w-1-1-1,0.82273
2,alpha0.9---w-0-1-1,0.81646
3,alpha0.9---w-0-1-1,0.81157
4,alpha0.9---w-0-1-1,0.81261
5,alpha0.9---w-0-1-1,0.82522
6,alpha0.9---w-0-1-1,0.80996
7,alpha0.9---w-0-1-1,0.81703
8,alpha0.9---w-0-1-1,0.81274
9,alpha0.9---w-0-1-1,0.82858
10,alpha0.9---w-0-1-1,0.81417
11,alpha0.9---w-0-1-1,0.81858
12,alpha0.9---w-0-1-1,0.82092
13,alpha0.9---w-0-1-1,0.82193
14,alpha0.9---w-0-1-1,0.81596
15,alpha0.9---w-0-1-1,0.81605
16,alpha0.9---w-0-1-1,0.81982
17,alpha0.9---w-0-1-1,0.82496
18,alpha0.9---w-0-1-1,0.81002
19,alpha0.9---w-0-1-1,0.81767
20,alpha0.9---w-0-1-1,0.81339
21,alpha0.9---w-0-1-1,0.81577
22,alpha0.9---w-0-1-1,0.82333
23,alpha0.9---w-0-1-1,0.815
24,alpha0.9---w-0-1-1,0.82667
25,alpha0.9---w-0-1-1,0.82087
26,alpha0.9---w-0-1-1,0.80978
27,alpha0.9---w-0-1-1,0.81932
28,alpha0.9---w-0-1-1,0.81688
29,alpha0.9---w-0-1-1,0.8147
30,alpha0.9---w-0-1-1,0.81241
1,alpha0.1---w-1-2-0,0.82526
2,alpha0.9---w-1-0-1,0.81653
3,alpha0.9---w-1-0-1,0.81163
4,alpha0.9---w-1-0-1,0.81253
5,alpha0.9---w-1-0-1,0.82522
6,alpha0.9---w-1-0-1,0.80999
7,alpha0.9---w-1-0-1,0.81707
8,alpha0.9---w-1-0-1,0.81272
9,alpha0.9---w-1-0-1,0.82856
10,alpha0.9---w-1-0-1,0.81421
11,alpha0.9---w-1-0-1,0.81866
12,alpha0.9---w-1-0-1,0.82087
13,alpha0.9---w-1-0-1,0.82204
14,alpha0.9---w-1-0-1,0.81597
15,alpha0.9---w-1-0-1,0.81602
16,alpha0.9---w-1-0-1,0.81994
17,alpha0.9---w-1-0-1,0.82496
18,alpha0.9---w-1-0-1,0.81008
19,alpha0.9---w-1-0-1,0.81772
20,alpha0.9---w-1-0-1,0.81338
21,alpha0.9---w-1-0-1,0.81585
22,alpha0.9---w-1-0-1,0.82331
23,alpha0.9---w-1-0-1,0.81502
24,alpha0.9---w-1-0-1,0.82679
25,alpha0.9---w-1-0-1,0.82087
26,alpha0.9---w-1-0-1,0.80982
27,alpha0.9---w-1-0-1,0.81935
28,alpha0.9---w-1-0-1,0.81686
29,alpha0.9---w-1-0-1,0.81472
30,alpha0.9---w-1-0-1,0.81248
1,alpha0.1---w-2-0-1,0.82491
2,alpha0.9---w-1-1-0,0.81654
3,alpha0.9---w-1-1-0,0.81164
4,alpha0.9---w-1-1-0,0.81264
5,alpha0.9---w-1-1-0,0.82532
6,alpha0.9---w-1-1-0,0.81007
7,alpha0.9---w-1-1-0,0.81707
8,alpha0.9---w-1-1-0,0.81291
9,alpha0.9---w-1-1-0,0.82864
10,alpha0.9---w-1-1-0,0.81423
11,alpha0.9---w-1-1-0,0.81866
12,alpha0.9---w-1-1-0,0.82094
13,alpha0.9---w-1-1-0,0.82214
14,alpha0.9---w-1-1-0,0.81604
15,alpha0.9---w-1-1-0,0.81612
16,alpha0.9---w-1-1-0,0.81995
17,alpha0.9---w-1-1-0,0.8251
18,alpha0.9---w-1-1-0,0.81011
19,alpha0.9---w-1-1-0,0.81777
20,alpha0.9---w-1-1-0,0.81342
21,alpha0.9---w-1-1-0,0.81591
22,alpha0.9---w-1-1-0,0.82339
23,alpha0.9---w-1-1-0,0.81519
24,alpha0.9---w-1-1-0,0.82684
25,alpha0.9---w-1-1-0,0.82096
26,alpha0.9---w-1-1-0,0.80986
27,alpha0.9---w-1-1-0,0.8195
28,alpha0.9---w-1-1-0,0.81687
29,alpha0.9---w-1-1-0,0.81474
30,alpha0.9---w-1-1-0,0.81257
1,alpha0.1---w-2-1-0,0.82506
2,alpha0.8---w-0-1-2,0.7961
3,alpha0.8---w-0-1-2,0.79256
4,alpha0.8---w-0-1-2,0.79276
5,alpha0.8---w-0-1-2,0.8041
6,alpha0.8---w-0-1-2,0.79095
7,alpha0.8---w-0-1-2,0.79764
8,alpha0.8---w-0-1-2,0.79262
9,alpha0.8---w-0-1-2,0.80727
10,alpha0.8---w-0-1-2,0.79477
11,alpha0.8---w-0-1-2,0.80042
12,alpha0.8---w-0-1-2,0.80029
13,alpha0.8---w-0-1-2,0.80164
14,alpha0.8---w-0-1-2,0.79679
15,alpha0.8---w-0-1-2,0.79559
16,alpha0.8---w-0-1-2,0.7993
17,alpha0.8---w-0-1-2,0.80453
18,alpha0.8---w-0-1-2,0.79147
19,alpha0.8---w-0-1-2,0.79732
20,alpha0.8---w-0-1-2,0.79368
21,alpha0.8---w-0-1-2,0.79576
22,alpha0.8---w-0-1-2,0.80319
23,alpha0.8---w-0-1-2,0.79614
24,alpha0.8---w-0-1-2,0.80563
25,alpha0.8---w-0-1-2,0.80188
26,alpha0.8---w-0-1-2,0.79077
27,alpha0.8---w-0-1-2,0.79932
28,alpha0.8---w-0-1-2,0.79593
29,alpha0.8---w-0-1-2,0.79624
30,alpha0.8---w-0-1-2,0.79286
1,alpha0.2---w-0-1-1,0.80419
2,alpha0.8---w-0-2-1,0.79602
3,alpha0.8---w-0-2-1,0.79247
4,alpha0.8---w-0-2-1,0.79284
5,alpha0.8---w-0-2-1,0.80415
6,alpha0.8---w-0-2-1,0.79099
7,alpha0.8---w-0-2-1,0.79756
8,alpha0.8---w-0-2-1,0.79278
9,alpha0.8---w-0-2-1,0.80732
10,alpha0.8---w-0-2-1,0.79471
11,alpha0.8---w-0-2-1,0.80033
12,alpha0.8---w-0-2-1,0.80029
13,alpha0.8---w-0-2-1,0.80168
14,alpha0.8---w-0-2-1,0.79678
15,alpha0.8---w-0-2-1,0.79564
16,alpha0.8---w-0-2-1,0.79925
17,alpha0.8---w-0-2-1,0.80464
18,alpha0.8---w-0-2-1,0.79141
19,alpha0.8---w-0-2-1,0.79729
20,alpha0.8---w-0-2-1,0.79363
21,alpha0.8---w-0-2-1,0.79574
22,alpha0.8---w-0-2-1,0.8032
23,alpha0.8---w-0-2-1,0.79628
24,alpha0.8---w-0-2-1,0.80562
25,alpha0.8---w-0-2-1,0.80187
26,alpha0.8---w-0-2-1,0.79076
27,alpha0.8---w-0-2-1,0.79942
28,alpha0.8---w-0-2-1,0.79586
29,alpha0.8---w-0-2-1,0.79619
30,alpha0.8---w-0-2-1,0.79288
1,alpha0.2---w-0-1-2,0.8056
2,alpha0.8---w-1-0-2,0.79621
3,alpha0.8---w-1-0-2,0.79265
4,alpha0.8---w-1-0-2,0.79266
5,alpha0.8---w-1-0-2,0.8041
6,alpha0.8---w-1-0-2,0.79099
7,alpha0.8---w-1-0-2,0.79768
8,alpha0.8---w-1-0-2,0.79258
9,alpha0.8---w-1-0-2,0.80724
10,alpha0.8---w-1-0-2,0.79483
11,alpha0.8---w-1-0-2,0.80054
12,alpha0.8---w-1-0-2,0.80023
13,alpha0.8---w-1-0-2,0.8018
14,alpha0.8---w-1-0-2,0.7968
15,alpha0.8---w-1-0-2,0.79555
16,alpha0.8---w-1-0-2,0.79947
17,alpha0.8---w-1-0-2,0.80454
18,alpha0.8---w-1-0-2,0.79155
19,alpha0.8---w-1-0-2,0.79741
20,alpha0.8---w-1-0-2,0.79368
21,alpha0.8---w-1-0-2,0.79587
22,alpha0.8---w-1-0-2,0.80317
23,alpha0.8---w-1-0-2,0.79617
24,alpha0.8---w-1-0-2,0.80578
25,alpha0.8---w-1-0-2,0.80191
26,alpha0.8---w-1-0-2,0.79083
27,alpha0.8---w-1-0-2,0.79935
28,alpha0.8---w-1-0-2,0.79592
29,alpha0.8---w-1-0-2,0.79626
30,alpha0.8---w-1-0-2,0.79296
1,alpha0.2---w-0-2-1,0.80414
2,alpha0.8---w-1-1-1,0.79599
3,alpha0.8---w-1-1-1,0.79244
4,alpha0.8---w-1-1-1,0.79261
5,alpha0.8---w-1-1-1,0.80403
6,alpha0.8---w-1-1-1,0.79089
7,alpha0.8---w-1-1-1,0.79747
8,alpha0.8---w-1-1-1,0.79261
9,alpha0.8---w-1-1-1,0.80715
10,alpha0.8---w-1-1-1,0.79465
11,alpha0.8---w-1-1-1,0.80032
12,alpha0.8---w-1-1-1,0.8001
13,alpha0.8---w-1-1-1,0.80171
14,alpha0.8---w-1-1-1,0.79668
15,alpha0.8---w-1-1-1,0.79548
16,alpha0.8---w-1-1-1,0.79928
17,alpha0.8---w-1-1-1,0.80451
18,alpha0.8---w-1-1-1,0.79136
19,alpha0.8---w-1-1-1,0.79725
20,alpha0.8---w-1-1-1,0.79351
21,alpha0.8---w-1-1-1,0.79573
22,alpha0.8---w-1-1-1,0.80305
23,alpha0.8---w-1-1-1,0.79619
24,alpha0.8---w-1-1-1,0.80565
25,alpha0.8---w-1-1-1,0.80179
26,alpha0.8---w-1-1-1,0.79068
27,alpha0.8---w-1-1-1,0.79934
28,alpha0.8---w-1-1-1,0.79572
29,alpha0.8---w-1-1-1,0.79609
30,alpha0.8---w-1-1-1,0.79286
1,alpha0.2---w-1-0-1,0.80403
2,alpha0.8---w-1-2-0,0.79613
3,alpha0.8---w-1-2-0,0.79257
4,alpha0.8---w-1-2-0,0.79287
5,alpha0.8---w-1-2-0,0.80428
6,alpha0.8---w-1-2-0,0.79113
7,alpha0.8---w-1-2-0,0.79761
8,alpha0.8---w-1-2-0,0.79299
9,alpha0.8---w-1-2-0,0.8074
10,alpha0.8---w-1-2-0,0.7948
11,alpha0.8---w-1-2-0,0.80044
12,alpha0.8---w-1-2-0,0.80031
13,alpha0.8---w-1-2-0,0.80197
14,alpha0.8---w-1-2-0,0.79689
15,alpha0.8---w-1-2-0,0.79573
16,alpha0.8---w-1-2-0,0.79942
17,alpha0.8---w-1-2-0,0.80484
18,alpha0.8---w-1-2-0,0.79153
19,alpha0.8---w-1-2-0,0.79743
20,alpha0.8---w-1-2-0,0.79368
21,alpha0.8---w-1-2-0,0.79593
22,alpha0.8---w-1-2-0,0.80327
23,alpha0.8---w-1-2-0,0.79654
24,alpha0.8---w-1-2-0,0.80584
25,alpha0.8---w-1-2-0,0.80199
26,alpha0.8---w-1-2-0,0.79088
27,alpha0.8---w-1-2-0,0.79967
28,alpha0.8---w-1-2-0,0.79586
29,alpha0.8---w-1-2-0,0.79623
30,alpha0.8---w-1-2-0,0.79311
1,alpha0.2---w-1-0-2,0.80551
2,alpha0.8---w-2-0-1,0.79622
3,alpha0.8---w-2-0-1,0.79265
4,alpha0.8---w-2-0-1,0.79263
5,alpha0.8---w-2-0-1,0.80416
6,alpha0.8---w-2-0-1,0.79106
7,alpha0.8---w-2-0-1,0.79764
8,alpha0.8---w-2-0-1,0.79269
9,alpha0.8---w-2-0-1,0.80724
10,alpha0.8---w-2-0-1,0.79483
11,alpha0.8---w-2-0-1,0.80054
12,alpha0.8---w-2-0-1,0.80016
13,alpha0.8---w-2-0-1,0.802
14,alpha0.8---w-2-0-1,0.79682
15,alpha0.8---w-2-0-1,0.79556
16,alpha0.8---w-2-0-1,0.79956
17,alpha0.8---w-2-0-1,0.80463
18,alpha0.8---w-2-0-1,0.79157
19,alpha0.8---w-2-0-1,0.79745
20,alpha0.8---w-2-0-1,0.79362
21,alpha0.8---w-2-0-1,0.79597
22,alpha0.8---w-2-0-1,0.80314
23,alpha0.8---w-2-0-1,0.79635
24,alpha0.8---w-2-0-1,0.80591
25,alpha0.8---w-2-0-1,0.80193
26,alpha0.8---w-2-0-1,0.79086
27,alpha0.8---w-2-0-1,0.7995
28,alpha0.8---w-2-0-1,0.79583
29,alpha0.8---w-2-0-1,0.79623
30,alpha0.8---w-2-0-1,0.79308
1,alpha0.2---w-1-1-0,0.8036
2,alpha0.8---w-2-1-0,0.79622
3,alpha0.8---w-2-1-0,0.79265
4,alpha0.8---w-2-1-0,0.79277
5,alpha0.8---w-2-1-0,0.80429
6,alpha0.8---w-2-1-0,0.79116
7,alpha0.8---w-2-1-0,0.79766
8,alpha0.8---w-2-1-0,0.79294
9,alpha0.8---w-2-1-0,0.80735
10,alpha0.8---w-2-1-0,0.79485
11,alpha0.8---w-2-1-0,0.80053
12,alpha0.8---w-2-1-0,0.80023
13,alpha0.8---w-2-1-0,0.80213
14,alpha0.8---w-2-1-0,0.79691
15,alpha0.8---w-2-1-0,0.79569
16,alpha0.8---w-2-1-0,0.79956
17,alpha0.8---w-2-1-0,0.80482
18,alpha0.8---w-2-1-0,0.7916
19,alpha0.8---w-2-1-0,0.7975
20,alpha0.8---w-2-1-0,0.79367
21,alpha0.8---w-2-1-0,0.79605
22,alpha0.8---w-2-1-0,0.80324
23,alpha0.8---w-2-1-0,0.79658
24,alpha0.8---w-2-1-0,0.80598
25,alpha0.8---w-2-1-0,0.80203
26,alpha0.8---w-2-1-0,0.79092
27,alpha0.8---w-2-1-0,0.79971
28,alpha0.8---w-2-1-0,0.79584
29,alpha0.8---w-2-1-0,0.79626
30,alpha0.8---w-2-1-0,0.79322
1,alpha0.2---w-1-1-1,0.80211
2,alpha0.8---w-0-1-1,0.79602
3,alpha0.8---w-0-1-1,0.79247
4,alpha0.8---w-0-1-1,0.79276
5,alpha0.8---w-0-1-1,0.80409
6,alpha0.8---w-0-1-1,0.79093
7,alpha0.8---w-0-1-1,0.79756
8,alpha0.8---w-0-1-1,0.79265
9,alpha0.8---w-0-1-1,0.80725
10,alpha0.8---w-0-1-1,0.7947
11,alpha0.8---w-0-1-1,0.80034
12,alpha0.8---w-0-1-1,0.80025
13,alpha0.8---w-0-1-1,0.80162
14,alpha0.8---w-0-1-1,0.79674
15,alpha0.8---w-0-1-1,0.79558
16,alpha0.8---w-0-1-1,0.79924
17,alpha0.8---w-0-1-1,0.80454
18,alpha0.8---w-0-1-1,0.7914
19,alpha0.8---w-0-1-1,0.79727
20,alpha0.8---w-0-1-1,0.79361
21,alpha0.8---w-0-1-1,0.79571
22,alpha0.8---w-0-1-1,0.80315
23,alpha0.8---w-0-1-1,0.79617
24,alpha0.8---w-0-1-1,0.80559
25,alpha0.8---w-0-1-1,0.80183
26,alpha0.8---w-0-1-1,0.79073
27,alpha0.8---w-0-1-1,0.79933
28,alpha0.8---w-0-1-1,0.79585
29,alpha0.8---w-0-1-1,0.79618
